"date","inc100weekly"
1984-11-03,"125"
1984-11-10,"246"
1984-11-17,"159"
1984-11-24,"131"
1984-12-01,"143"
1984-12-08,"184"
1984-12-15,"225"
1984-12-22,"185"
1984-12-29,"154"
1985-01-05,"155"
1985-01-12,"177"
1985-01-19,"388"
1985-01-26,"770"
1985-02-02,"1155"
1985-02-09,"1026"
1985-02-16,"855"
1985-02-23,"707"
1985-03-02,"670"
1985-03-09,"640"
1985-03-16,"501"
1985-03-23,"445"
1985-03-30,"357"
1985-04-06,"244"
1985-04-13,"116"
1985-04-20,"91"
1985-04-27,"62"
1985-05-04,"74"
1985-05-11,"78"
1985-05-18,"51"
1985-05-25,"47"
1985-06-01,"44"
1985-06-08,"35"
1985-06-15,"36"
1985-06-22,"35"
1985-06-29,"34"
1985-07-06,"36"
1985-07-13,"26"
1985-07-20,"24"
1985-07-27,"21"
1985-08-03,"31"
1985-08-10,"14"
1985-08-17,"41"
1985-08-24,"73"
1985-08-31,"55"
1985-09-07,"51"
1985-09-14,"40"
1985-09-21,"50"
1985-09-28,"72"
1985-10-05,"90"
1985-10-12,"83"
1985-10-19,"138"
1985-10-26,"158"
1985-11-02,"122"
1985-11-09,"104"
1985-11-16,"128"
1985-11-23,"120"
1985-11-30,"124"
1985-12-07,"120"
1985-12-14,"156"
1985-12-21,"208"
1985-12-28,"157"
1986-01-04,"203"
1986-01-11,"322"
1986-01-18,"490"
1986-01-25,"629"
1986-02-01,"658"
1986-02-08,"793"
1986-02-15,"886"
1986-02-22,"810"
1986-03-01,"580"
1986-03-08,"464"
1986-03-15,"303"
1986-03-22,"225"
1986-03-29,"157"
1986-04-05,"90"
1986-04-12,"77"
1986-04-19,"74"
1986-04-26,"63"
1986-05-03,"57"
1986-05-10,"40"
1986-05-17,"31"
1986-05-24,"26"
1986-05-31,"18"
1986-06-07,"26"
1986-06-14,"20"
1986-06-21,"20"
1986-06-28,"16"
1986-07-05,"14"
1986-07-12,"4"
1986-07-19,"7"
1986-07-26,"4"
1986-08-02,"4"
1986-08-09,"2"
1986-08-16,"6"
1986-08-23,"10"
1986-08-30,"19"
1986-09-06,"17"
1986-09-13,"29"
1986-09-20,"48"
1986-09-27,"52"
1986-10-04,"60"
1986-10-11,"59"
1986-10-18,"57"
1986-10-25,"50"
1986-11-01,"52"
1986-11-08,"70"
1986-11-15,"58"
1986-11-22,"66"
1986-11-29,"83"
1986-12-06,"102"
1986-12-13,"133"
1986-12-20,"132"
1986-12-27,"138"
1987-01-03,"125"
1987-01-10,"133"
1987-01-17,"187"
1987-01-24,"285"
1987-01-31,"424"
1987-02-07,"533"
1987-02-14,"518"
1987-02-21,"391"
1987-02-28,"264"
1987-03-07,"167"
1987-03-14,"96"
1987-03-21,"107"
1987-03-28,"112"
1987-04-04,"91"
1987-04-11,"80"
1987-04-18,"58"
1987-04-25,"38"
1987-05-02,"29"
1987-05-09,"23"
1987-05-16,"19"
1987-05-23,"32"
1987-05-30,"27"
1987-06-06,"29"
1987-06-13,"20"
1987-06-20,"42"
1987-06-27,"22"
1987-07-04,"18"
1987-07-11,"5"
1987-07-18,"8"
1987-07-25,"8"
1987-08-01,"15"
1987-08-08,"13"
1987-08-15,"12"
1987-08-22,"12"
1987-08-29,"11"
1987-09-05,"14"
1987-09-12,"20"
1987-09-19,"30"
1987-09-26,"58"
1987-10-03,"44"
1987-10-10,"76"
1987-10-17,"68"
1987-10-24,"83"
1987-10-31,"74"
1987-11-07,"64"
1987-11-14,"67"
1987-11-21,"53"
1987-11-28,"75"
1987-12-05,"89"
1987-12-12,"104"
1987-12-19,"86"
1987-12-26,"21"
1988-01-02,"85"
1988-01-09,"109"
1988-01-16,"107"
