"firstday","weighted_ILIpercent"
1997-10-05,1.01898
1997-10-12,1.44932
1997-10-19,1.4623
1997-10-26,1.64702
1997-11-02,2.46072
1997-11-09,2.68891
1997-11-16,2.956
1997-11-23,3.41822
1997-11-30,3.85026
1997-12-07,3.36631
1997-12-14,3.19316
1997-12-21,3.861
1997-12-28,5.27238
1998-01-04,7.27426
1998-01-11,6.48192
1998-01-18,5.62791
1998-01-25,6.06346
1998-02-01,10.3737
1998-02-08,9.65896
1998-02-15,6.32876
1998-02-22,5.0068
1998-03-01,2.67351
1998-03-08,2.81254
1998-03-15,1.64111
1998-03-22,0.245826
1998-03-29,0.0794589
1998-04-05,0
1998-04-12,0.44252
1998-04-19,0.440135
1998-04-26,0
1998-05-03,0
1998-05-10,0
1998-05-17,0
1998-05-24,0
1998-05-31,0
1998-06-07,0
1998-06-14,0
1998-06-21,0
1998-06-28,0
1998-07-05,0
1998-07-12,0
1998-07-19,0
1998-07-26,0
1998-08-02,0
1998-08-09,0
1998-08-16,0
1998-08-23,0
1998-08-30,0
1998-09-06,0
1998-09-13,0
1998-09-20,0
1998-09-27,0
1998-10-04,0.0215989
1998-10-11,0.0135215
1998-10-18,0.164406
1998-10-25,0.0918424
1998-11-01,0.272294
1998-11-08,0.113875
1998-11-15,1.82054
1998-11-22,2.16039
1998-11-29,2.26698
1998-12-06,2.57479
1998-12-13,2.48661
1998-12-20,8.57079
1998-12-27,11.7203
1999-01-03,5.47947
1999-01-10,6.52803
1999-01-17,6.35484
1999-01-24,4.51048
1999-01-31,9.97783
1999-02-07,10.8929
1999-02-14,10.448
1999-02-21,8.15635
1999-02-28,6.50947
1999-03-07,8.84811
1999-03-14,4.08477
1999-03-21,4.11259
1999-03-28,1.86255
1999-04-04,0.895034
1999-04-11,0.651762
1999-04-18,0.220088
1999-04-25,0.65499
1999-05-02,0.11836
1999-05-09,0.234715
1999-05-16,0
1999-05-23,0
1999-05-30,0
1999-06-06,0
1999-06-13,0
1999-06-20,0
1999-06-27,0
1999-07-04,0
