gpId,date,totalPatients,iliNum,openHours,iliPercent
2,8/11/2009,26,3,3,11.54
12,8/12/2009,27,1,2.5,3.7
2,8/12/2009,32,5,3,15.63
11,8/12/2009,48,13,3.5,27.08
10,8/12/2009,20,5,3,25
3,8/13/2009,4,1,2,25
25,8/13/2009,18,8,2,44.44
12,8/13/2009,31,3,2.5,9.68
11,8/13/2009,36,15,3.5,41.67
10,8/13/2009,15,4,3,26.67
3,8/14/2009,5,2,2,40
1,8/14/2009,70,9,6.5,12.86
2,8/14/2009,27,4,3,14.81
12,8/14/2009,32,4,2.5,12.5
11,8/14/2009,37,10,3.5,27.03
25,8/14/2009,22,8,2,36.36
13,8/14/2009,22,4,3,18.18
10,8/14/2009,15,5,3,33.33
13,8/15/2009,17,5,3,29.41
2,8/15/2009,22,3,3,13.64
11,8/15/2009,48,11,4,22.92
10,8/15/2009,18,3,3,16.67
12,8/15/2009,33,5,3,15.15
1,8/16/2009,100,28,6.5,28
2,8/16/2009,30,3,3,10
12,8/16/2009,33,5,3,15.15
2,8/17/2009,28,4,3,14.29
13,8/17/2009,18,2,3,11.11
11,8/17/2009,37,9,3.5,24.32
25,8/17/2009,15,6,2,40
10,8/17/2009,20,5,3,25
25,8/18/2009,13,4,2,30.77
14,8/18/2009,32,7,2.5,21.88
11,8/18/2009,51,15,4,29.41
13,8/18/2009,15,3,3,20
12,8/18/2009,30,4,2,13.33
1,8/18/2009,90,16,6.5,17.78
2,8/18/2009,20,3,3,15
10,8/18/2009,23,3,3,13.04
14,8/19/2009,20,3,2.5,15
11,8/19/2009,34,16,3,47.06
2,8/19/2009,29,5,3,17.24
12,8/19/2009,36,7,3,19.44
1,8/19/2009,85,20,6.5,23.53
10,8/19/2009,12,4,2.5,33.33
13,8/20/2009,20,2,3,10
14,8/20/2009,25,3,2.5,12
12,8/20/2009,30,3,2.5,10
11,8/20/2009,46,14,4,30.43
1,8/20/2009,87,22,6.17,25.29
2,8/20/2009,28,4,3,14.29
10,8/20/2009,20,8,3,40
12,8/21/2009,33,9,2.5,27.27
2,8/21/2009,26,4,3,15.38
11,8/21/2009,34,12,3,35.29
13,8/21/2009,15,2,3,13.33
12,8/22/2009,40,5,3,12.5
11,8/22/2009,52,15,4,28.85
4,8/22/2009,21,4,3,19.05
1,8/22/2009,120,30,6,25
13,8/22/2009,22,5,3,22.73
15,8/22/2009,9,3,2,33.33
12,8/23/2009,41,5,3,12.2
15,8/24/2009,11,3,2,27.27
14,8/24/2009,24,2,2.5,8.33
12,8/24/2009,30,4,2.5,13.33
4,8/24/2009,19,3,3,15.79
11,8/24/2009,46,16,3.5,34.78
1,8/24/2009,72,18,6.5,25
13,8/24/2009,24,5,3,20.83
2,8/24/2009,26,5,3,19.23
10,8/24/2009,22,5,3,22.73
15,8/25/2009,9,4,2,44.44
14,8/25/2009,25,3,2.5,12
12,8/25/2009,33,5,2.5,15.15
2,8/25/2009,18,3,3,16.67
11,8/25/2009,32,9,3,28.13
13,8/25/2009,22,2,3,9.09
1,8/25/2009,70,14,6.17,20
4,8/25/2009,23,6,3,26.09
10,8/25/2009,20,6,3,30
15,8/26/2009,12,3,2,25
12,8/26/2009,35,8,2.5,22.86
11,8/26/2009,44,12,3.5,27.27
13,8/26/2009,25,5,3,20
4,8/26/2009,23,6,3,26.09
2,8/26/2009,20,5,3,25
10,8/26/2009,16,3,2,18.75
2,8/27/2009,26,8,3,30.77
12,8/27/2009,32,9,2.5,28.13
14,8/27/2009,27,4,2.5,14.81
11,8/27/2009,38,17,3.5,44.74
1,8/27/2009,82,25,6.5,30.49
4,8/27/2009,18,6,3,33.33
19,8/27/2009,52,14,4.17,26.92
10,8/27/2009,18,5,3,27.78
15,8/28/2009,10,3,2,30
17,8/28/2009,3,1,2,33.33
14,8/28/2009,35,4,2.5,11.43
11,8/28/2009,38,18,3.5,47.37
12,8/28/2009,33,4,2.5,12.12
13,8/28/2009,23,6,3,26.09
1,8/28/2009,90,25,6,27.78
4,8/28/2009,20,5,3,25
19,8/28/2009,55,9,4.5,16.36
10,8/28/2009,20,3,3,15
15,8/29/2009,11,4,2,36.36
11,8/29/2009,33,10,3.5,30.3
13,8/29/2009,21,5,3,23.81
12,8/29/2009,35,6,2.5,17.14
1,8/29/2009,98,25,6,25.51
19,8/29/2009,49,5,4.5,10.2
10,8/29/2009,15,5,2,33.33
19,8/30/2009,33,5,3,15.15
12,8/31/2009,16,4,2,25
15,8/31/2009,9,2,2,22.22
11,8/31/2009,20,4,3,20
19,8/31/2009,49,8,3.5,16.33
1,8/31/2009,62,11,7,17.74
13,8/31/2009,15,2,3,13.33
4,8/31/2009,25,8,3,32
10,8/31/2009,15,5,3,33.33
15,9/1/2009,12,2,2,16.67
11,9/1/2009,35,12,3.5,34.29
13,9/1/2009,12,1,3,8.33
12,9/1/2009,24,5,2,20.83
19,9/1/2009,40,5,3,12.5
1,9/1/2009,86,20,6.5,23.26
4,9/1/2009,21,6,3,28.57
10,9/1/2009,16,5,3,31.25
11,9/2/2009,37,14,3.5,37.84
12,9/2/2009,48,4,3,8.33
19,9/2/2009,34,2,3,5.88
17,9/2/2009,2,1,2,50
4,9/3/2009,21,5,3,23.81
15,9/3/2009,10,5,2,50
14,9/3/2009,35,5,3,14.29
11,9/3/2009,38,13,3.5,34.21
9,9/3/2009,60,14,4,23.33
19,9/3/2009,51,10,3.5,19.61
12,9/3/2009,40,8,3,20
1,9/3/2009,75,18,6.5,24
10,9/3/2009,18,5,3,27.78
15,9/4/2009,13,5,2,38.46
12,9/4/2009,36,5,3,13.89
11,9/4/2009,46,16,4,34.78
14,9/4/2009,40,5,3,12.5
19,9/4/2009,47,3,3.4,6.38
1,9/4/2009,78,17,7,21.79
4,9/4/2009,19,5,3,26.32
13,9/4/2009,25,11,3,44
10,9/4/2009,20,6,3,30
15,9/5/2009,9,3,2,33.33
12,9/5/2009,42,7,3,16.67
13,9/5/2009,22,3,3,13.64
19,9/5/2009,49,8,3.4,16.33
1,9/5/2009,100,23,6.5,23
10,9/5/2009,15,3,2.5,20
12,9/6/2009,41,6,3,14.63
11,9/6/2009,43,13,3.5,30.23
17,9/7/2009,2,0,2,0
15,9/7/2009,10,3,2,30
11,9/7/2009,31,15,3,48.39
12,9/7/2009,50,9,3,18
20,9/7/2009,72,26,4,36.11
13,9/7/2009,18,2,3,11.11
5,9/7/2009,27,4,4,14.81
1,9/7/2009,90,25,6,27.78
19,9/7/2009,49,8,3.4,16.33
4,9/7/2009,25,8,3,32
10,9/7/2009,20,6,3,30
2,9/7/2009,28,8,3,28.57
12,9/8/2009,48,8,3,16.67
11,9/8/2009,35,12,3.5,34.29
17,9/8/2009,3,1,2,33.33
13,9/8/2009,20,6,3,30
1,9/8/2009,87,28,6.17,32.18
19,9/8/2009,51,8,4.17,15.69
4,9/8/2009,21,5,3,23.81
20,9/8/2009,57,19,4,33.33
10,9/8/2009,25,10,3,40
2,9/8/2009,32,9,3,28.13
15,9/9/2009,10,5,2,50
12,9/9/2009,36,9,3,25
11,9/9/2009,36,15,3.5,41.67
13,9/9/2009,20,4,3,20
5,9/9/2009,26,8,4,30.77
19,9/9/2009,54,10,4,18.52
1,9/9/2009,88,28,7,31.82
4,9/9/2009,22,6,3,27.27
20,9/9/2009,67,11,4,16.42
2,9/9/2009,30,9,3,30
15,9/10/2009,12,6,2,50
12,9/10/2009,40,8,3,20
9,9/10/2009,40,8,4,20
11,9/10/2009,47,30,4,63.83
5,9/10/2009,35,8,4.5,22.86
19,9/10/2009,58,11,4.4,18.97
1,9/10/2009,80,28,6.5,35
20,9/10/2009,54,23,4,42.59
10,9/10/2009,26,10,3,38.46
2,9/10/2009,35,12,3,34.29
4,9/10/2009,22,6,3,27.27
17,9/11/2009,2,1,2,50
15,9/11/2009,10,3,2,30
9,9/11/2009,11,2,3,18.18
11,9/11/2009,38,14,3.5,36.84
