year,week,count
2015,1,2822
2015,2,2921
2015,3,3035
2015,4,2918
2015,5,2931
2015,6,2997
2015,7,2959
2015,8,2821
2015,9,2590
2015,10,2513
2015,11,2288
2015,12,2401
2015,13,2341
2015,14,2366
2015,15,2469
2015,16,2534
2015,17,2645
2015,18,2882
2015,19,2757
2015,20,2828
2015,21,3001
2015,22,2844
2015,23,2637
2015,24,2631
2015,25,2651
2015,26,2651
2015,27,2357
2015,28,2318
2015,29,2469
2015,30,2392
2015,31,2475
2015,32,2880
2015,33,2810
2015,34,2625
2015,35,2423
2015,36,2280
2015,37,2821
2015,38,2738
2015,39,2929
2015,40,2619
2015,41,2529
2015,42,2612
2015,43,2588
2015,44,2533
2015,45,2721
2015,46,2673
2015,47,2488
2015,48,2455
2015,49,2319
2015,50,2303
2015,51,2414
2015,52,2494
2016,1,2604
2016,2,2775
2016,3,2946
2016,4,3111
2016,5,3125
2016,6,3740
2016,7,3174
2016,8,3148
2016,9,3001
2016,10,2702
2016,11,2382
2016,12,2596
2016,13,2530
2016,14,2417
2016,15,2383
2016,16,2487
2016,17,2520
2016,18,2715
2016,19,2648
2016,20,2853
2016,21,2775
2016,22,2634
2016,23,2521
2016,24,2564
2016,25,2819
2016,26,3021
2016,27,2989
2016,28,2940
2016,29,3427
2016,30,3566
2016,31,3499
2016,32,3233
2016,33,2834
2016,34,2687
2016,35,2573
2016,36,2371
2016,37,2566
2016,38,2449
2016,39,2384
2016,40,2378
2016,41,2423
2016,42,2408
2016,43,2398
2016,44,2462
2016,45,2598
2016,46,2651
2016,47,2620
2016,48,2589
2016,49,2377
2016,50,2410
2016,51,2275
2016,52,2493
2017,1,2721
2017,2,2881
2017,3,3060
2017,4,3002
2017,5,3521
2017,6,3352
2017,7,3316
2017,8,2993
2017,9,3008
2017,10,3038
2017,11,2711
2017,12,2977
2017,13,2839
2017,14,3023
2017,15,3164
2017,16,3202
2017,17,3189
2017,18,3452
2017,19,3645
2017,20,3500
2017,21,3440
2017,22,3241
2017,23,2842
2017,24,2476
2017,25,2374
2017,26,2793
2017,27,2835
2017,28,3191
2017,29,3355
2017,30,3132
2017,31,2867
2017,32,2783
2017,33,2893
2017,34,2771
2017,35,2502
2017,36,2378
2017,37,2489
2017,38,2665
2017,39,2686
2017,40,2881
2017,41,3016
2017,42,3125
2017,43,2869
2017,44,2882
2017,45,2862
2017,46,2939
2017,47,2910
2017,48,2836
2017,49,2711
2017,50,2677
2017,51,2729
2017,52,2836
2018,1,3158
2018,2,3632
2018,3,4234
2018,4,4048
2018,5,3960
2018,6,3983
2018,7,3911
2018,8,3513
2018,9,3174
2018,10,3012
2018,11,2694
2018,12,2806
2018,13,2797
2018,14,2968
2018,15,2959
2018,16,2984
2018,17,3044
2018,18,3249
2018,19,3131
2018,20,3075
2018,21,3089
2018,22,3023
2018,23,2701
2018,24,2403
2018,25,2597
2018,26,2987
2018,27,3173
2018,28,3384
2018,29,3202
2018,30,3033
2018,31,3006
2018,32,2890
2018,33,2873
2018,34,2816
2018,35,2519
2018,36,2422
2018,37,2893
2018,38,2845
2018,39,2767
2018,40,2659
2018,41,2656
2018,42,2904
2018,43,2947
2018,44,3016
2018,45,3321
2018,46,3272
2018,47,3386
2018,48,3296
2018,49,3138
2018,50,3036
2018,51,2789
2018,52,3420
2019,1,3478
2019,2,3291
2019,3,3391
2019,4,3408
2019,5,3428
2019,6,3658
2019,7,3237
2019,8,3063
2019,9,2920
2019,10,2949
2019,11,2881
2019,12,2591
2019,13,2687
2019,14,2834
2019,15,2870
2019,16,2995
2019,17,2963
2019,18,3224
2019,19,3184
2019,20,3060
2019,21,3210
2019,22,3017
2019,23,2824
2019,24,2797
2019,25,2824
2019,26,2957
2019,27,3182
2019,28,3312
2019,29,3290
2019,30,3256
2019,31,3102
2019,32,2837
2019,33,2794
2019,34,2621
2019,35,2510
2019,36,2393
2019,37,2286
2019,38,2720
2019,39,2564
2019,40,2619
2019,41,2848
2019,42,2987
2019,43,2952
2019,44,3208
2019,45,3156
2019,46,3115
2019,47,3101
2019,48,2966
2019,49,2966
2019,50,3062
2019,51,3050
2019,52,3701
